title_id,movie,drama,animation,2nd,num_extended,novel_original,extended,title,complete,author,author_works,genre,rating,episode,view,comment,hashtags,age rating,story_cleaned
50866481,0,0,4,4,1,1,1,나 혼자만 레벨업,1,"현군,장성락(REDICE STUDIO),추공",1,판타지,10,203,550000000,416000,생존 먼치킨 시스템 천재 노력 성장 이능력 플레이어,0,차원 통로 게이트 각성 던전 마물 사냥 헌터 저급 고비 인류 병기 형편 생계 최악 난이도 이중 죽음 능력 게임 퀘스트 레벨 비밀 수련 몬스터 약체 최강
56976992,0,0,0,0,0,1,0,접근 불가 레이디,1,"용두식,시조새,ZI.O,밍숭,킨",7,로판,9.9,126,46088000,31000,로맨스판타지 복수물 회귀물 피폐물 여주판타지 운명 까칠남 카리스마남 무심남 능력녀 도도녀 무심녀 걸크러쉬 사이다녀 애잔물,0,애원 방울 의붓 여동생 일곱 배신 헛된 미련 말종 쓰레기 사랑
56271898,0,0,0,0,0,1,0,무협지 악녀인데 내가 제일 쎄!,1,"가비남,유아니,윌브라이트",3,로판,10,131,33541000,29000,로맨스판타지 빙의물 무협물 순정남 능력남 존댓말남 대형견남 순진남 조신남 능력녀 걸크러쉬 악녀 사이다녀 우월녀 권선징악,0,일가 악녀 월세 탈출 무협 해원 빙의 정인 독약 먹이 무림 고수 교의 앞잡이 혼란 세계관
55566760,0,0,0,0,0,1,0,그녀와 야수,1,"홍슬,마지노선",4,로판,10,178,43630000,35000,로맨스판타지,15,제국 시조 전설 죽음 귀족 전생 아버지 파산 야수 대공 간다 급소 기절 하룻밤 검술 괴물 제압 애완동물 테오 달빛 결핍 남편 아내 조련
57260192,0,0,0,0,0,1,0,"아 하세요, 금수저 들어갑니다",1,"신유성,포르토피노",5,로판,10,128,35140000,28000,로맨스판타지 빙의물 츤데레남 능력남 냉정남 능력녀 도도녀 걸크러쉬 재벌녀 사이다녀 계약관계 정략결혼 로맨틱코미디,0,싸움 재산 형제 대한민국 대표 수저 마감 재벌 남부 장악 후계 세기말 악녀 단점 여동생 뒤통수 인생 목표 상단 위태 아버지 제국 신랑감
58800646,0,0,0,0,0,1,0,이 용사 실화냐,1,"빠용,파르나르",3,판타지,9.6,101,6806000,6,차원이동 라이트노벨 복수 생존 성좌 먼치킨 용사 이능력,0,사인 악마 소환 마법 모험 여신 의지 본래 약속 몬스터
54189843,0,0,0,0,0,1,0,북검전기,1,"해민,우각",6,무협,9.9,203,82372000,54000,정통 무림 전쟁 성장 생존 천마 무당 책사 마교 정파,0,무협소설 최강 동명 만화 혼란 집단 중원 고수 천문 투쟁 평화 대표 은밀 시기 주인 배신자 목숨 파국 호의 아들 소년 아버지 전수 고어 정체 소녀
50242834,0,0,4,4,1,1,1,그녀가 공작저로 가야 했던 사정,1,"고래,밀차",4,로판,10,158,200000000,233000,로맨스판타지 환생물 빙의물 능글남 다정남 외유내강,0,의문 사망 빙의 재수생 약혼자 독살 파혼 나이트 계약 약혼 공작 약혼녀 역할 천사 악마 죽음 운명 냉혈 파란만장 로맨스 판타지
53190884,0,0,4,4,1,1,1,도굴왕,1,"윤쓰(REDICE STUDIO),쓰리비투에스,산지직송",4,판타지,9.9,412,270000000,114000,복수 귀환 먼치킨 천재 고인물 이능력,0,현대 출몰 신의 무덤 유물 영웅 능력 의문 도굴 접수
55021766,0,0,0,0,0,1,0,악녀는 두 번 산다,1,"피치베리(스토리웹툰),한민트",4,로판,10,230,77249000,47000,로맨스판타지 회귀물 악녀 계약관계 다정남 능력남 왕족 귀족 외유내강 계략녀 권선징악,0,모략 천재 황제 악행 헌신 배신 죽음 구원 정의 숙적 계책 인물 그대 세력 판도 제국 눈물 마법 회귀 악녀 결심 청혼 악마 대가 인기 로맨스 판타지
59999668,0,0,0,0,0,1,0,청혼하라고 구해준 건 아니었는데,1,"이은,하삼,유나진",7,로판,9.8,115,4944000,3,로맨스판타지 오해물 환생물 빙의물 착각물 순정남 능력남 직진남 사이다녀 능력녀 털털녀 쌍방삽질 짝사랑 삼각관계 로맨틱코미디,0,사고 죽음 목소리 부탁 기억 빙의 비트 암살 짝사랑 편지 은혜 결혼 황자 청혼 거절
54688834,0,0,0,0,0,1,0,악당의 아빠를 꼬셔라,1,"비아,달슬",2,로판,10,160,100000000,96000,로맨스판타지 빙의물 다정남 차도남 엉뚱발랄녀 직진녀 로맨틱코미디,0,버스사고 부모님 세대 불행 임신 언니 납치 마력 개복치 신세 황제 악녀 결혼 아들 취약 아버님 공주 스윗 철벽남 청혼 프로젝트 악당 아빠
53297664,0,0,0,0,0,1,0,공작부인의 50가지 티 레시피,1,"앤트스튜디오,이지하",9,로판,9.9,143,130000000,98000,로맨스판타지 빙의물 능력녀 왕족 귀족 절륜남 드라마,0,공작부인 빙의 하녀 괴롭힘 남편 냉대 허수아비 인생 홍차 덕질
60626628,0,0,0,0,0,1,0,이혼한 악녀는 케이크를 굽는다,1,"단풍새,밤파랑,민들레와인",3,로판,9.9,84,9930000,8,로맨스판타지 성장물 짝사랑 첫사랑 연하남 왕족 귀족 능력남 짝사랑남 대형견남 직진남 자상녀 외유내강 다정녀 능력녀 힐링물,0,애인 황제 강압 결혼 남편 사랑 가족 공작부인 기다림 이혼 서류 마음 사인 필요 지참금 푼돈 신경 질문 대답 디저트 카페 악녀 케이크
58410245,0,0,0,0,0,1,0,남주의 연적이 되어 버렸다,1,"사적,마떼,설이수",4,로판,10,106,34416000,30000,로맨스판타지 차원이동물 짝사랑 다정남 순정남 능력남 짝사랑남 대형견남 능력녀 직진녀 달달물 로맨틱코미디 드라마,0,여주 고백 연적 눈빛 여자 인성 쓰레기 로맨스 겸사겸사 사망플래그 투기
56657309,0,0,0,0,0,1,0,당신의 이해를 돕기 위하여,1,"라뇽,오션,이보라",3,로판,10,165,100000000,86000,로맨스판타지 영혼체인지 까칠남 카리스마남 후회남 절륜남 상처녀 정략결혼 신파 드라마 애잔물 상처남 능력남 자상녀 다정녀,0,왕녀 왕실 막대 블루밍 결혼 결혼식 반한 해체 선언 사기꾼 오명 작위 재산 첫날 지옥 생활 남자 장례식 열중 망상
55872683,0,0,0,0,0,1,0,태양의 주인,1,"둥그라미,KONN,송이,솔땀",6,로맨스,9.9,146,45360000,27000,동양풍 복수물 소유욕 독점욕 왕족 귀족 외유내강 털털녀 가상시대물 운명 오만남 능글남 엉뚱발랄녀 능력녀 신분차이 달달물,15,폐하 치유 마 천대 신의 형벌 갈증 운명 사랑
56556599,0,0,0,0,0,1,0,"아빠, 나 이 결혼 안 할래요!",1,"미르하,유리,Roal,홍희수",1,로판,10,132,70039000,89000,로맨스판타지 오해물 착각물 가족후회물 빙의물 까칠남 왕족 귀족 무심남 엉뚱발랄녀 무심녀 집착녀 철벽녀 계약관계 쌍방삽질 로맨틱코미디,0,미움 악녀 사랑 애인 가족 아버지 악역 인생 공녀 라이프 선언 싸이코패스 황태자 결혼 상대 고요 계약 연애 제자 결론 남자 아빠
50289296,0,0,0,0,0,1,0,화산전생,1,"토마씨,정준",2,무협,9.9,303,180000000,76000,정통 귀환 노력 먼치킨 무림 생존 성장 영웅 신화 환생 검 도사 마교 명문세가 살수 화산,0,전란 화산 파의 장로 영광 후회 미련 죽음 운명 과거
51526841,0,0,0,0,0,1,0,신마경천기,1,"곰국,일황",2,무협,9.9,253,72319000,25000,귀환 노력 복수 무림 먼치킨 생존 성장 정통 영웅 신화 창 천마 지존 마교,0,누명 계승 제자 위선 죽음 신물 인생 마교 정체 목표 복수 운명 원한 성 무공 장악 처단 생사 난관 일황 작가 인기 무협 신마
